Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
33.49654391578279,-8.482419495310541,2.669488956987141,-129.1547662548307
34.67368504525317,-7.759616985314747,1.573309723012432,-133.676484962256
35.89219346450057,-7.049530568197509,0.4823567688343458,-137.5039325101729
37.15352290971728,-6.363612168428336,-0.592774191181958,-140.7508882851272
38.45917820453539,-5.706106942120918,-1.648775744340637,-143.5356221338585
39.81071705534973,-5.079797701711949,-2.684250522108881,-145.9330131204148
41.20975190973304,-4.485368381002083,-3.699571847241481,-148.0204551775711
42.6579518801593,-3.922356981835274,-4.697065438370957,-149.860600696119
44.1570447353313,-3.389578442582513,-5.681820420806197,-151.491980020615
45.70881896148752,-2.886304143366922,-6.65760767942328,-152.9660433390444
47.31512589614807,-2.410711666333988,-7.629578739593876,-154.3155603128796
48.97788193684466,-1.963981633307129,-8.605686272949058,-155.5685070910534
50.6990708274705,-1.545431577559943,-9.593541640303849,-156.7734378709634
52.48074602497728,-1.156119055781812,-10.61157514601169,-157.9584091545323
54.32503314924336,-0.8000507633377839,-11.70081735775599,-159.1960628410654
56.23413251903497,-0.4821232141429505,-13.0206592705397,-160.6574195374735
58.21032177708716,-0.2851452051220833,-15.00830752350501,-162.1782859870211
60.25595860743581,-0.2253289813206352,-16.66115348120498,-162.6394112890493
62.37348354824198,-0.1934034315223238,-17.89443187018597,-162.7801629024843
64.56542290346563,-0.1716015395391425,-18.93331388009077,-162.8758150623559
66.83439175686149,-0.1550862409765134,-19.85557469954512,-162.9386761316373
69.1830970918937,-0.1416187333978482,-20.70459717124664,-163.0203604357781
71.6143410212902,-0.1297028493328717,-21.49780639194356,-163.111315138573
74.13102413009184,-0.1192347325603403,-22.24743310307356,-163.1994655637926
76.73614893618193,-0.1104769865606012,-22.96772776410656,-163.3212158657968
79.43282347242821,-0.1026219098949549,-23.66196041435009,-163.4186176896256
82.22426499470713,-0.09519818547299544,-24.33119952026024,-163.5175609461344
85.11380382023776,-0.08807701735774205,-24.98784089396188,-163.6247326984751
88.10488730080148,-0.08232573100851973,-25.61975706881997,-163.722814771143
91.20108393559106,-0.0763196044540195,-26.24835815986025,-163.8126895590135
94.40608762859236,-0.07137477126955812,-26.86785236066277,-163.9444857912849
97.72372209558122,-0.0662239085131802,-27.47792060851579,-164.0252985895083
101.1579454259899,-0.06148855260602545,-28.07721512290864,-164.0984262748967
104.7128548050901,-0.05711777826775455,-28.66685256679034,-164.1981410688977
108.3926914021204,-0.05277998923770592,-29.25085898852443,-164.2867953598268
112.2018454301964,-0.04922770468448362,-29.82862640674421,-164.3550054466144
116.1448613840343,-0.04597993674715298,-30.40364759413741,-164.4354407079558
120.2264434617414,-0.04223629729606371,-30.97869885964925,-164.4784881659581
124.4514611771386,-0.03925504261285523,-31.55182863805351,-164.5290231482699
128.8249551693135,-0.03654482028550164,-32.1105700891142,-164.5353267646925
133.3521432163325,-0.03373307595106061,-32.68259861724415,-164.6187855136492
138.0384264602886,-0.03060887003796457,-33.24073280935389,-164.5775825823374
142.8893958511104,-0.02837222697225317,-33.80577690242259,-164.6086057274778
147.9108388168209,-0.02580830574332442,-34.37413805467006,-164.630875312286
153.1087461682031,-0.02365721724625749,-34.92152999437538,-164.5627216458803
158.4893192461115,-0.02177193178069459,-35.46873177067096,-164.6647440380168
164.058977319954,-0.01956235121628647,-36.01271474555208,-164.5468999834904
169.8243652461744,-0.01767043555388474,-36.55968916686059,-164.49735635452
175.7923613958694,-0.0163283564369453,-37.1045656169829,-164.3606331937817
181.9700858609984,-0.01456810153281961,-37.66980873700872,-164.307721107685
188.3649089489802,-0.0131528193433762,-38.19398811681545,-164.2310087412849
194.9844599758046,-0.01184507104757551,-38.73970524594674,-164.124114036644
201.8366363681563,-0.01026188927564217,-39.28103242595868,-163.9621160114219
208.929613085404,-0.009162397340121619,-39.83390380999681,-163.8075380344952
